,Unnamed: 0,incident_control,incident_containment,incident_acres_burned,incident_name,calfire_incident,is_active,incident_id,incident_type,County,data_id
1220,1220,,100.0,121.0,Hill Fire,True,N,72cb3684-c194-4180-bdfe-22775f86a594,,Fresno,Fresno-2019-05
1221,1221,,100.0,45.0,Diversion Fire,True,N,e354cde8-d0e6-4150-9f6b-1c12045e77d0,,Riverside,Riverside-2019-05
1222,1222,,100.0,144.0,Canyon Fire,True,N,329ac0b8-a2c1-4a72-bd09-dd86c477162b,,Stanislaus,Stanislaus-2019-05
1223,1223,,100.0,55.0,66 Fire,False,N,b4616173-5807-4c04-a416-5374139f3fcc,,Riverside,Riverside-2019-05
1224,1224,,100.0,155.0,Spruce Fire,True,N,812a492e-35cb-4bb0-9e5a-1ec181d8b97e,,Tulare,Tulare-2019-06
1225,1225,,100.0,257.0,Citrus Fire,True,N,11e0324e-e8ff-4591-b592-9e704ade60d6,,Tulare,Tulare-2019-06
1226,1226,,100.0,33.0,Yokohl Fire,True,N,db2a5b4c-260b-4888-aeb3-663b8bf41106,,Tulare,Tulare-2019-06
1227,1227,,100.0,25.0,Bear Fire,True,N,e1f34f39-beea-4a6d-9ba6-64b6b55ff567,,Tulare,Tulare-2019-06
1228,1228,,100.0,1127.0,Boulder Fire,True,N,107dd529-31b8-4b5f-ab09-4aa79c770d4b,,San Luis Obispo,San Luis Obispo-2019-06
1229,1229,,100.0,23.0,Willow Fire,True,N,2e71d51a-49f1-4e86-82e2-054637efd1a5,,Contra Costa,Contra Costa-2019-06
1230,1230,,100.0,24.0,Nelson Fire ,False,N,b433dceb-f5b4-4b46-8eb3-2aae9fc2d45a,,Solano,Solano-2019-06
1231,1231,,100.0,27.0,Watt Fire,True,N,24997ef5-a558-4ea6-8a96-b3cdff79fe2b,,Placer,Placer-2019-06
1232,1232,,100.0,600.0,Stuhr Fire,True,N,8edf51ea-1e4f-4e73-8e04-e168417ed39b,,Stanislaus,Stanislaus-2019-06
1233,1233,,100.0,70.0,Levee Fire,False,N,3fd43a39-4e82-4b7e-a642-be86b5c73522,,Yuba,Yuba-2019-06
1234,1234,,100.0,2512.0,Sand Fire,True,N,1760d7f8-57a2-4a04-b7e5-0861cc0ee963,,Yolo,Yolo-2019-06
1235,1235,,100.0,50.0,Ink Fire,True,N,78c1dacb-653a-42fe-b025-ab80ec4996bd,,Napa,Napa-2019-06
1236,1236,,100.0,1350.0,West Butte Fire,False,N,23cee99c-662f-4409-80d0-b9eb3a6287b3,,Butte,Butte-2019-06
1237,1237,,100.0,1764.0,McMillan Fire,True,N,88a285bc-0dc7-4c51-a35a-5026850b0a6d,,San Luis Obispo,San Luis Obispo-2019-06
1238,1238,,100.0,210.0,Malech Fire,True,N,6f509c42-9d2b-45df-b705-02dcb9147dde,,Santa Clara,Santa Clara-2019-06
1239,1239,,100.0,35.0,Calaveras Fire ,True,N,0cd5a369-2f91-4786-9df1-98ece3e9e78c,,Calaveras,Calaveras-2019-06
1240,1240,,100.0,43.0,Ardo Fire,True,N,20ccd7ec-de69-4967-9877-db5e143fe99a,,Monterey,Monterey-2019-06
1241,1241,,100.0,47.0,Springs Fire,True,N,b671965d-2369-4107-98fe-432eab6ffdc0,,Tulare,Tulare-2019-06
1242,1242,,100.0,120.0,Bitter Fire ,True,N,e1e4dad4-7ea6-48ec-b34d-3128cf55cc43,,San Luis Obispo,San Luis Obispo-2019-06
1243,1243,,100.0,15.0,Pauma Fire,True,N,77671ac0-0868-4cc9-a699-26f0131cd493,,San Diego,San Diego-2019-06
1244,1244,,100.0,17.0,32 Fire,True,N,921a69d2-ddde-4fd8-a874-f5ba15a4edd2,,Butte,Butte-2019-06
1245,1245,,100.0,17.0,Rocky Fire,True,N,45cad03f-97e7-4301-92e2-e63a0040913a,,Siskiyou,Siskiyou-2019-06
1246,1246,,100.0,10.0,IronGate Fire,True,N,fe63d965-9069-4a96-b9da-99d5fefdaa19,Wildfire,Siskiyou,Siskiyou-2019-06
1247,1247,,100.0,120.0,Weisgarber Fire,True,N,779c4b9a-19bf-487f-ba65-6589aea27420,,Marin,Marin-2019-06
1248,1248,,100.0,207.0,Lumgrey Fire,False,N,48d3b3c4-fcf5-47d9-920f-3b3c1b0f6fb1,,Butte,Butte-2019-06
1249,1249,,100.0,525.0,Jerry Fire,True,N,8c666963-1f9d-43c6-bc3a-cab623d81f27,,Riverside,Riverside-2019-06
1250,1250,,100.0,30.0,Mountain Fire,False,N,bc5d73ab-3100-4117-9978-a99b8e3daf5c,,Alameda,Alameda-2019-06
1251,1251,,100.0,46.0,Paskenta Fire,True,N,50328016-5e03-4e90-bff0-95d36942728f,,Tehama,Tehama-2019-06
1252,1252,,100.0,80.0,Scott Fire,True,N,937f9f26-8d23-4ee7-a0f3-61313dcc63f3,,Yuba,Yuba-2019-06
1253,1253,,100.0,2422.0,Rock Fire,True,N,4edb5c7c-08d6-4ae0-b8b3-7bb471e26d8e,,Stanislaus,Stanislaus-2019-06
1254,1254,,100.0,2546.0,Lonoak Fire,True,N,35ba5eb8-520f-4660-af60-9e0e00e7b42b,,San Benito,San Benito-2019-06
1255,1255,,100.0,90.0,Trinity Fire,True,N,2f3e47bb-8595-4c9f-bfa6-6fd76e465c12,,Shasta,Shasta-2019-06
1256,1256,,100.0,17.0,Mines Fire,True,N,7a0029c7-64c8-442d-8c7a-080a553e2b8e,,Alameda,Alameda-2019-06
1257,1257,,100.0,148.0,Dyer Fire,True,N,ac723863-413e-43f8-b4b6-2311e81e36ae,,Placer,Placer-2019-06
1258,1258,,100.0,20.0,Nuevo Fire,True,N,c6e38284-336a-4435-a3a1-b2b91ee84a91,,Riverside,Riverside-2019-06
1259,1259,,100.0,2.0,Long Fire,True,N,b38c0563-b321-431b-9174-6336c5a0d449,,Sierra,Sierra-2019-06
1260,1260,,100.0,28.0,Otay Fire,True,N,c51a2db5-6d0b-4b4a-8692-a6d73714829f,,San Diego,San Diego-2019-06
1261,1261,,100.0,214.0,Wolf Fire ,True,N,24d9c2ae-8b11-4536-9b9c-5f4e0d476af0,,Riverside,Riverside-2019-06
1262,1262,,100.0,210.0,Merced Fire ,True,N,cc06431a-5153-4f66-8ada-07af53c175c3,Wildfire,Merced,Merced-2019-06
1263,1263,,100.0,12.0,Mayberry Fire ,True,N,42e2b6f0-2d63-4fbf-bbb4-4fc2eda4805d,,Yuba,Yuba-2019-06
1264,1264,,100.0,74.0,Coyote Fire,False,N,be4489fb-f51f-4109-8132-c7a28e0d9995,Wildfire,Santa Clara,Santa Clara-2019-07
1265,1265,,100.0,283.0,Hollow Fire,True,N,89db8bb4-6e3b-4de7-b7d9-287c1a9032c0,Wildfire,San Joaquin,San Joaquin-2019-07
1266,1266,,100.0,25.0,Bikeway Fire,True,N,65e8fbe1-5300-4c90-9f48-0e7bfe55b1bc,Wildfire,Stanislaus,Stanislaus-2019-07
