,incident_latitude,incident_longitude,date,temperature (degC),wind_speed (m/s),total_precipitation (mm of water equivalent),relative_humidity (0-1),surface_pressure (Pa),humidex (degC),County,latitude,longitude,y,month,year
Kings-2013-09,0.0,0.0,2013-09,13.644666666666668,4.066999999999998,0.052666666666666674,0.797,101140.86133333332,15.096333333333336,Kings,36.13275782850867,-119.07169538055264,False,09,2013
Kings-2013-10,0.0,0.0,2013-10,12.389032258064516,5.944193548387097,0.11322580645161293,0.8441935483870967,100590.77387096775,13.663225806451615,Kings,35.986171440356905,-119.23959520117268,False,10,2013
Kings-2013-11,0.0,0.0,2013-11,6.388333333333335,4.241666666666666,0.04866666666666667,0.8490000000000001,101228.45566666668,5.398333333333335,Kings,36.10172375924587,-118.88290932593185,False,11,2013
Kings-2013-12,0.0,0.0,2013-12,6.231935483870967,6.36258064516129,0.06193548387096775,0.8387096774193548,100695.33290322582,5.137419354838709,Kings,37.06676265121065,-118.91499837284807,False,12,2013
Kings-2014-01,0.0,0.0,2014-01,5.344838709677419,5.42741935483871,0.1661290322580645,0.8767741935483874,99533.78741935485,4.1570967741935485,Kings,36.80103690112658,-120.55469742109788,False,01,2014
Kings-2014-02,0.0,0.0,2014-02,6.145000000000001,6.692857142857143,0.09678571428571424,0.8003571428571431,99071.59392857144,4.8014285714285725,Kings,36.2102394206129,-119.09504154783309,False,02,2014
Kings-2014-03,0.0,0.0,2014-03,7.241290322580648,4.908387096774193,0.06387096774193549,0.8058064516129033,101107.44161290322,6.260967741935482,Kings,36.76514183601264,-120.10738237648977,False,03,2014
Kings-2014-04,0.0,0.0,2014-04,9.631333333333336,4.176666666666667,0.05200000000000001,0.8219999999999998,101115.01766666668,9.592000000000002,Kings,35.36447851333699,-119.15328912018876,False,04,2014
Kings-2014-05,0.0,0.0,2014-05,12.150967741935485,3.653225806451612,0.14419354838709675,0.7932258064516129,101108.36161290325,12.884193548387096,Kings,36.91552480294044,-118.84321891180208,False,05,2014
Kings-2014-06,0.0,0.0,2014-06,14.574333333333335,2.8343333333333334,0.09033333333333336,0.7980000000000002,101585.45133333336,16.4,Kings,36.13165491339728,-120.29397597889385,False,06,2014
